,id,generation,fitness,all_fitness
48,xXxONySFbI9Z9XKNzlbISaaCDDk,5,[0.16270276 1.80355678],
45,xXxxwBrTIu7AIn6cIPbS8eNNu23,5,[0.18063547 3.72619953],
46,xXx3NtLDusxzG98vDDUEeLkmeVh,5,[0.16509381 2.15267634],
47,xXxygBqbBx2rtkBdtcqcMsD0PZb,5,[0.19026817 4.36075068],
40,xXx8KfExDYOdBPxFr2nFQb8Ged8,3,[1.69227037 0.1566751 ],
33,xXxi4QD6DDRyFUreqqByPaHe3zV,3,[1.00899167 0.09822034],
32,xXxBo8Jun9lPnlJop0U8MOYL2uf,3,[1.85590615 0.16507066],
39,xXxUwi2T2oRAzfN3XCNcKWv9yVT,3,[3.20834975 0.19021908],
38,xXxhdiLkCPZp2bRw1C4Ge7AD7wh,3,[3.99341002 0.20398581],
37,xXx5Eu6s9fEXrBKGmCaulaZClF6,3,[3.14081678 0.18980534],
36,xXxwurJ9theNhItoAsEALt9wWxt,3,[3.23549843 0.19104399],
35,xXxMmBkaAMkti5UXQFP40t7MnUk,3,[3.88213882 0.19272772],
31,xXxzUtd8TArahZeCUDE8oaAu3m5,3,[1.71407752 0.15682021],
34,xXxFRq2tyDKdvbGVEC1ugA7fi72,3,[2.10598292 0.16578765],
41,xXxEG9gB43P3maMkjdnIXCJAjyo,3,[1.80513558 0.16445644],
14,xXx5wZ8VmAcDDdPdIOO8uuN2O9H,1,[3.77248592 0.19024631],
